scene_id,environment_seed,action_seed,is_success,final_coverage,max_coverage,reward,steps
dev-000,191664963,20260904,False,0.0,0.244372568229,1.349220302979,300
dev-001,1662057957,20260905,False,0.0,0.166155193694,1.723435772781,300
dev-002,1405681631,20260906,False,0.0,0.659409202287,1.957980858659,300
dev-003,942484272,20260907,False,0.0,0.000251871557,0.006309523499,300
dev-004,929893137,20260908,False,0.0,0.021559550724,0.065205344065,300
dev-005,1843824992,20260909,False,0.0,0.252982547459,3.226108637355,300
dev-006,1497586438,20260910,False,0.0,0.0,0.0,300
dev-007,432652533,20260911,False,0.0,0.049701849359,0.052317736167,300
dev-008,202244314,20260912,False,0.0,0.296965256256,5.565960887568,300
dev-009,1130604997,20260913,False,0.0,0.0,0.0,300
dev-010,2095133045,20260914,False,0.0,0.026641426913,1.052886537928,300
dev-011,1580016183,20260915,False,0.0,0.146094190297,0.456400075324,300
dev-012,1634535062,20260916,False,0.0,0.327114642494,5.082787577473,300
dev-013,1540770719,20260917,False,0.0,0.0,0.0,300
dev-014,1102145672,20260918,False,0.0,0.0,0.0,300
dev-015,275121930,20260919,False,0.0,0.0,0.0,300
dev-016,1803345590,20260920,False,0.0,0.0,0.0,300
dev-017,967196436,20260921,False,0.0,0.061029889754,0.653833678301,300
dev-018,1074497555,20260922,False,0.0,0.095806483747,2.551626511444,300
dev-019,796282693,20260923,False,0.0,0.054157052476,0.734075320242,300
