scene_id,seed,action_only_success,future_aware_success,action_only_final_coverage,future_aware_final_coverage,action_only_max_coverage,future_aware_max_coverage
web-random-00,2026091001,False,True,0.2484634833789596,0.9512377638133703,0.2484634833789596,0.9512377638133703
web-random-01,2026091002,False,False,0.890882090820594,0.37374301792119885,0.890882090820594,0.37374301792119885
web-random-02,2026091003,False,False,0.0,0.0,0.0,0.0
web-random-03,2026091004,False,False,0.8955960329376794,0.0,0.8955960329376794,0.5072417982833825
web-random-04,2026091006,True,True,0.950102149625831,0.961505815115511,0.950102149625831,0.961505815115511
web-random-05,2026091007,False,False,0.0,0.0,7.55887610873695e-05,0.03770731319123769
web-random-06,2026091008,False,False,0.1207094548775214,0.30093553800254075,0.1207094548775214,0.30093553800254075
web-random-07,2026091009,False,True,0.808358083058641,0.9613855130694311,0.808358083058641,0.9613855130694311
web-random-08,2026091010,False,False,0.0,0.0,0.0,0.0
web-random-09,2026091011,True,False,0.9505861459854146,0.8305921314005074,0.9505861459854146,0.9316858675529441
web-random-10,2026091012,False,False,0.9081846742864259,0.0,0.925995069758597,0.06982895855581561
web-random-11,2026091013,False,True,0.8115024794129402,0.9515739923710366,0.894018387837402,0.9515739923710366
web-random-12,2026091014,False,False,0.8664243325758164,0.9363601485598015,0.8664243325758164,0.9363601485598015
web-random-13,2026091015,False,False,0.8186602662367215,0.2292833229555461,0.8186602662367215,0.2292833229555461
web-random-14,2026091016,False,False,0.0,0.9485745271661857,0.0,0.9485745271661857
web-random-15,2026091017,False,True,0.24619808512519856,0.971306183053712,0.4235946554868363,0.971306183053712
web-random-16,2026091018,False,False,0.0,0.0,0.0,0.02223283058710134
web-random-17,2026091019,False,False,0.8904865435969712,0.9182889845275821,0.8904865435969712,0.9182889845275821
web-random-18,2026091020,False,False,0.9445217841438881,0.03280214845251335,0.9447344857292601,0.03280214845251335
web-random-19,2026091021,False,False,0.7603839278930856,0.19234168398755863,0.7603839278930856,0.47343500076552364
